system,split,category,n,jvr,intent_accuracy,slot_macro_f1,target_f1,quantity_f1,radius_f1,ccr,urr,frr,exact_match_accuracy,mean_latency_millis,median_latency_millis,p95_latency_millis,input_tokens,output_tokens,observed_cost_usd
DEEPSEEK_V4_FLASH,all,boundary_safety,12,0.9166666666666666,0.75,0.8333333333333334,1.0,1.0,0.5,0.0,0.75,0.0,0.5,1048.4166666666667,1038.0,1287.05,9735,715,0.1188
DEEPSEEK_V4_FLASH,all,colloquial_synonym,12,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,1045.5833333333333,1035.5,1155.8,10585,901,0.13288
DEEPSEEK_V4_FLASH,all,composite,12,1.0,0.9166666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1025.9166666666667,1007.0,1137.5,10652,1016,0.137
DEEPSEEK_V4_FLASH,all,explicit_executable,12,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.25,1195.0833333333333,1059.0,1852.3999999999996,10594,898,0.13288
DEEPSEEK_V4_FLASH,all,missing_ambiguous,12,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1163.1666666666667,1114.0,1399.35,10539,812,0.12975
DEEPSEEK_V4_FLASH,all,unsupported_infeasible,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,943.5833333333334,887.0,1236.2999999999997,10549,540,0.12169
DEEPSEEK_V4_FLASH,dev,boundary_safety,6,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,0.0,1.0,0.0,0.5,1042.5,1043.5,1247.0,5310,414,0.06552
DEEPSEEK_V4_FLASH,dev,colloquial_synonym,6,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1004.0,995.0,1127.25,5279,403,0.06488
DEEPSEEK_V4_FLASH,dev,composite,6,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1055.5,1046.0,1152.5,5325,510,0.06855
DEEPSEEK_V4_FLASH,dev,explicit_executable,6,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1059.6666666666667,1052.0,1133.25,5278,400,0.06478
DEEPSEEK_V4_FLASH,dev,missing_ambiguous,6,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1273.3333333333333,1319.0,1412.25,5273,455,0.06638
DEEPSEEK_V4_FLASH,dev,unsupported_infeasible,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,892.0,889.0,966.75,5277,270,0.06087
